,Data Point,Corr Factor,Length Scale,AmbPress,AmbTemp,Density,Viscosity,Motor Speed,Angle of Attack,Corrected q,Avg Velocity,Reynolds number,Axial Force,Normal Force,Pitching Mom,Moment neutral,$C_M$,Lift,Drag,$L/D$,$C_L$,$C_D$,$C_L^{3/2} / C_D$
0,1.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,-5.01914121731,0.0007059571,9.50771141052,4668.3095703125,0.04119750656,-0.0039425982,-0.00849837896,0.004196787243998889,0.22463543687217905,0.1247191919375976,0.20710272667737117,0.6022093187207896,18.83063693243761,31.269255302188885,2.6132440881278893
1,2.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,-3.05774316567,0.00070199388,9.48098564148,4655.18701171875,0.05700240129,-0.00439099807,-0.0091384001,0.005000613685398763,0.2747563612524916,0.1247191919375976,0.20710272667737117,0.6022093187207896,18.83063693243761,31.269255302188885,2.6132440881278893
2,3.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,-0.96810269122,0.00072492358,9.63458347321,4730.60400390625,0.07454885511,-0.00579617617,-0.01092290659,0.007740780677398369,0.43106266538775195,0.1247191919375976,0.20710272667737117,0.6022093187207896,18.83063693243761,31.269255302188885,2.6132440881278893
3,4.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,0.009184543,0.00075685829,9.84451007843,4833.67822265625,0.08349722687,-0.00397684523,-0.010081541,0.002723900640598879,0.14853517764090654,0.1247191919375976,0.20710272667737117,0.6022093187207896,18.83063693243761,31.269255302188885,2.6132440881278893
4,5.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,0.96241182282,0.0007343356,9.69692707062,4761.21484375,0.08885104789,-0.00725061049,-0.01032887106,0.013018094717797956,0.7229085651871511,0.1247191919375976,0.20710272667737117,0.6022093187207896,18.83063693243761,31.269255302188885,2.6132440881278893
5,6.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,3.0726868129,0.00073938247,9.73019218445,4777.5478515625,0.1071117498,-0.00451314225,-0.00843782173,0.00609449631499873,0.32727057823912337,0.1247191919375976,0.20710272667737117,0.6022093187207896,18.83063693243761,31.269255302188885,2.6132440881278893
6,7.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,5.02907635446,0.00071027645,9.53675270081,4682.56884765625,0.12369456617,-0.00432386495,-0.00599617191,0.00792667322899878,0.4358434746095716,0.1247191919375976,0.20710272667737117,0.6022093187207896,18.83063693243761,31.269255302188885,2.6132440881278893
7,8.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,6.97514863822,0.00071006786,9.53535270691,4681.88134765625,0.13980809408,-0.00340766211,-0.00390107689,0.00707159510419904,0.3882760753331446,0.1247191919375976,0.20710272667737117,0.6022093187207896,18.83063693243761,31.269255302188885,2.6132440881278893
8,9.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,8.95668990749,0.0007369557,9.71421051025,4769.70068359375,0.15658382071,-0.00094784464,0.00128489052,0.004336950260799733,0.2374461252121765,0.1247191919375976,0.20710272667737117,0.6022093187207896,18.83063693243761,31.269255302188885,2.6132440881278893
9,10.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,11.05097041852,0.00075351067,9.8227148056,4822.9765625,0.17183575768,0.00128587245,0.00513581156,0.0009953022710003628,0.05628117905625052,0.1247191919375976,0.20710272667737117,0.6022093187207896,18.83063693243761,31.269255302188885,2.6132440881278893
10,11.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,13.07479060935,0.00073050465,9.67159938812,4748.77880859375,0.18873135817,0.0006738684,0.01177218218,0.00960232593200019,0.5305784720949908,0.1247191919375976,0.20710272667737117,0.6022093187207896,18.83063693243761,31.269255302188885,2.6132440881278893
11,12.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,15.03234016006,0.0007237687,9.62690544128,4726.833984375,0.18294089087,0.00270687631,0.0174337719,0.00871763018180076,,0.1247191919375976,0.20710272667737117,0.6022093187207896,18.83063693243761,31.269255302188885,2.6132440881278893
12,13.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,17.03454323928,0.00074407322,9.76100826263,4792.6787109375,0.21764515907,0.00367503781,0.02571141884,0.013877797091801035,,0.1247191919375976,0.20710272667737117,0.6022093187207896,18.83063693243761,31.269255302188885,2.6132440881278893
13,14.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,18.96907002025,0.00076149816,9.87463951111,4848.47216796875,0.23206331485,0.00818272658,0.03182143554,0.0054730559524023,,0.1247191919375976,0.20710272667737117,0.6022093187207896,18.83063693243761,31.269255302188885,2.6132440881278893
