,Data Point,Corr Factor,Length Scale,AmbPress,AmbTemp,Density,Viscosity,Motor Speed,Angle of Attack,Corrected q,Avg Velocity,Reynolds number,Axial Force,Normal Force,Pitching Mom,Moment neutral[lb-ft],$C_M_{yaw}$,Neutral Point[in],Yaw Force[lbf],Drag[lbf],$Yaw/D$,$C_Yaw$,$C_D$,$C_Yaw^{3/2} / C_D$
0,1.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,-10.00181720596,0.01967655536,50.19510269165,24645.91796875,0.0198361847,-0.02491455394,-0.09834768951,0.02099302386259215,1.1236636056270657,4.789999999999685,0.17692231845292544,0.18454347975725796,0.9587026249079235,1.06720039108232,1.1131714499945349,0.9903914998823727
1,2.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,-8.07917710694,0.0191684032,49.54271316528,24325.591796875,0.03401780663,-0.01772167637,-0.07750265799,0.007384171822294422,0.40571983928308775,4.789999999999685,0.17692231845292544,0.18454347975725796,0.9587026249079235,1.06720039108232,1.1131714499945349,0.9903914998823727
2,3.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,-6.10465048121,0.01891275252,49.21122741699,24162.83203125,0.04636005136,-0.01444286592,-0.0576596565,0.011521671256795443,0.6416100040370768,4.789999999999685,0.17692231845292544,0.18454347975725796,0.9587026249079235,1.06720039108232,1.1131714499945349,0.9903914998823727
3,4.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,-4.03182331578,0.01931400453,49.73051834106,24417.8046875,0.06968918947,-0.01099507557,-0.04056209184,0.012104320140296533,0.6600524686781735,4.789999999999685,0.17692231845292544,0.18454347975725796,0.9587026249079235,1.06720039108232,1.1131714499945349,0.9903914998823727
4,5.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,-1.98854226564,0.01896594312,49.28038024902,24196.78515625,0.07873183247,-0.00722682324,-0.02092214594,0.013694337379597719,0.7604610352649459,4.789999999999685,0.17692231845292544,0.18454347975725796,0.9587026249079235,1.06720039108232,1.1131714499945349,0.9903914998823727
5,6.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,0.01079490864,0.01961287417,50.11381149292,24606.001953125,0.09712882613,-0.0023248416,-0.00166507627,0.009470914993999267,0.5085821151309318,4.789999999999685,0.17692231845292544,0.18454347975725796,0.9587026249079235,1.06720039108232,1.1131714499945349,0.9903914998823727
6,7.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,1.95774061104,0.01915449886,49.52474212646,24316.767578125,0.11486380693,0.001358391,0.01789643687,0.011389743980000429,0.6262583870615618,4.789999999999685,0.17692231845292544,0.18454347975725796,0.9587026249079235,1.06720039108232,1.1131714499945349,0.9903914998823727
7,8.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,4.03902901965,0.01918170212,49.55989837646,24334.029296875,0.12858493018,0.00422300973,0.04048209861,0.020253882003301332,1.1120684511239665,4.789999999999685,0.17692231845292544,0.18454347975725796,0.9587026249079235,1.06720039108232,1.1131714499945349,0.9903914998823727
8,9.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,5.93941059024,0.01923666321,49.63084793091,24368.8671875,0.14902200205,0.01090406771,0.06600098162,0.013770497289103435,0.7539286888061865,4.789999999999685,0.17692231845292544,0.18454347975725796,0.9587026249079235,1.06720039108232,1.1131714499945349,0.9903914998823727
9,10.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,8.06462922754,0.01862525361,48.83575820923,23978.4765625,0.16325751649,0.01628986278,0.0888602217,0.010831778983805135,0.612502664012354,4.789999999999685,0.17692231845292544,0.18454347975725796,0.9587026249079235,1.06720039108232,1.1131714499945349,0.9903914998823727
10,11.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,9.93905388761,0.019060628,49.40324020386,24257.111328125,0.18146554174,0.02123990497,0.1170368966,0.015297751793706682,0.8452803863014233,4.789999999999685,0.17692231845292544,0.18454347975725796,0.9587026249079235,1.06720039108232,1.1131714499945349,0.9903914998823727
