Hotwire Calibration File

q Corr Factor,  0.907


Atm Press [Pa],  98510.000

Atm Temp [C],  21.000

Density [kg/m^3],  1.167



a0+(a1)X+(a2)X^2+(a3)X^3+(a4)X^4

a0,    a1,    a2,    a3,    a4
131.955,  -326.703,  309.377,  -136.269,  24.409


Pitot/static Probe Velocity [m/s], Hotwire Ev [Volts]
0.362,  1.262
0.363,  1.266
0.428,  1.261
0.442,  1.288
0.510,  1.334
0.698,  1.389
0.858,  1.420
0.909,  1.402
1.188,  1.440
1.228,  1.465
1.353,  1.463
1.564,  1.486
1.862,  1.516
1.932,  1.528
2.272,  1.547
2.713,  1.585
2.855,  1.587
3.245,  1.610
3.355,  1.624
3.500,  1.624
3.668,  1.634
3.977,  1.655
4.000,  1.650
4.358,  1.668
4.476,  1.678
4.885,  1.696
4.919,  1.694
5.205,  1.707
5.267,  1.713
5.341,  1.713
5.553,  1.722
5.601,  1.727
5.927,  1.736
6.044,  1.743
6.371,  1.752
7.061,  1.776
7.062,  1.778
7.706,  1.796
7.930,  1.803
8.078,  1.807
8.361,  1.816
8.615,  1.825
8.744,  1.827
9.260,  1.842
9.893,  1.861
9.964,  1.860
10.222,  1.867
10.335,  1.870
10.573,  1.876
10.760,  1.883
10.932,  1.885
11.389,  1.896
11.592,  1.902
12.052,  1.911
12.180,  1.916
12.355,  1.918
12.463,  1.921
12.558,  1.924
12.595,  1.924
12.867,  1.931
13.036,  1.933
13.076,  1.935
13.321,  1.941
13.526,  1.944
13.881,  1.952
14.226,  1.958
14.508,  1.963
14.695,  1.967
14.838,  1.971
14.874,  1.971
15.219,  1.978
15.572,  1.985
15.631,  1.985
15.807,  1.988
16.007,  1.992
16.012,  1.992
16.414,  1.999
16.425,  2.000
16.630,  2.002
16.897,  2.007
16.919,  2.009
17.283,  2.015
17.294,  2.013
17.524,  2.020
17.596,  2.021
17.836,  2.026
18.309,  2.034
18.325,  2.029
18.563,  2.039
18.692,  2.042
18.850,  2.045
19.094,  2.048
19.265,  2.047
19.288,  2.049
19.297,  2.043
19.393,  2.050
19.450,  2.050
19.537,  2.052
19.959,  2.054
19.967,  2.059
20.153,  2.062
20.203,  2.060
20.219,  2.063
20.363,  2.062
20.427,  2.063
20.532,  2.064
20.758,  2.068
20.764,  2.067
20.842,  2.069
20.973,  2.070
21.071,  2.072
21.103,  2.071
21.137,  2.074
21.214,  2.075
21.234,  2.075
